id,amount,sku_external_id,supplier_article,warehouse_name,quantityFull,in_way_to_client,in_way_from_client,techSize,price,discount,warehouse_id,product_id,created_at,updated_at
1317,0,OZN1559079992,TRANAF00505INT,Краснодар,54,4,50,0,1360.00,75,2,33,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1306,42,OZN986000008,AF00205INT,Электросталь,55,13,0,0,1600.00,80,3,201,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1352,82,OZN1101550985,TRANAF00327INT,Краснодар,89,1,6,0,1320.00,75,2,184,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1328,0,OZN1564128409,AF00507INT,Минск,0,0,0,0,1295.00,76,24,78,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1419,0,OZN1412535874,UVTRANAF00427INT,Коледино,3,2,1,0,1295.00,76,5,121,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1408,0,OZN1208972214,AF00370INT,СЦ Хабаровск,0,0,0,0,1600.00,80,25,31,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1415,0,OZN1403724758,AF00416INT,Электросталь,1,1,0,0,1390.00,73,3,85,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1393,0,OZN1557506832,AF00493INT,Минск,0,0,0,0,1360.00,75,24,151,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1410,77,OZN780141756,TRANAF0031INT,Краснодар,78,1,0,0,1600.00,80,2,64,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1384,74,OZN1413336721,AF00430INT,Коледино,103,26,3,0,1600.00,80,5,204,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1369,0,OZN1052505336,TRANAF00281INT,Радумля 1,0,0,0,0,1600.00,80,23,166,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1407,9,OZN1076470775,TRANAF00315INT,Электросталь,10,1,0,0,1347.00,74,3,265,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1422,17,OZN1427356016,AF00457INT,Электросталь,34,17,0,0,1600.00,80,3,128,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1382,0,OZN1429364843,AF00458INT,Рязань (Тюшевское),0,0,0,0,1335.00,73,19,109,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1427,0,OZN1096687042,AF00321INT,Электросталь,3,2,1,0,1600.00,80,3,46,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1394,0,OZN1559865875,AF00475INT,Коледино,8,7,1,0,1335.00,73,5,124,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1364,376,OZN1052505336,TRANAF00281INT,Электросталь,392,15,1,0,1600.00,80,3,166,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1395,0,OZN1559865875,AF00475INT,Краснодар,2,2,0,0,1335.00,73,2,124,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1405,35,OZN1063009297,TRANAF00297INT,Коледино,42,6,1,0,1320.00,75,5,223,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1420,74,OZN1416002666,AF00434INT,Коледино,96,20,2,0,1320.00,75,5,225,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1417,0,OZN1077597764,AF00316INT,Минск,0,0,0,0,1700.00,75,24,247,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1406,19,OZN1075953582,AF00311INT,Казань,20,1,0,0,1600.00,80,4,284,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1413,56,OZN1077595197,AF00306INT,Коледино,115,55,4,0,1320.00,75,5,230,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1383,40,OZN1551949453,AF00462INT,Краснодар,42,2,0,0,1320.00,75,2,129,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1396,0,OZN1564124230,AF00488INT,Краснодар,2,2,0,0,1360.00,75,2,115,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1365,0,OZN998967274,AF00194INT,Коледино,7,6,1,0,1295.00,76,5,141,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1370,39,OZN1052867152,TRANAF00283INT,Краснодар,51,10,2,0,1600.00,80,2,48,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1389,0,OZN1554656360,AF00461INT,Невинномысск,1,1,0,0,1390.00,73,12,108,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
